epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
189,13238.9,1.28921,0.8623,0.89908,0.65408,0.57923,0.55151,0.32007,1.3165,0.94419,0.90357,0.003796,0.003796,0.003796
190,13296.7,1.2866,0.862,0.89925,0.65548,0.58077,0.55284,0.32124,1.31675,0.94455,0.90355,0.003763,0.003763,0.003763
191,13355.1,1.29194,0.86243,0.89989,0.65689,0.58231,0.55418,0.32241,1.31678,0.94464,0.9035,0.00373,0.00373,0.00373
192,13413.2,1.28861,0.86105,0.89722,0.65829,0.58385,0.55552,0.32358,1.31695,0.94503,0.90351,0.003697,0.003697,0.003697
193,13471.1,1.28428,0.85762,0.89648,0.6597,0.58538,0.55686,0.32475,1.31714,0.94491,0.90346,0.003664,0.003664,0.003664
194,13529.2,1.28975,0.86044,0.8961,0.6611,0.58692,0.55819,0.32592,1.31679,0.94474,0.90337,0.003631,0.003631,0.003631
195,13586.6,1.28121,0.85611,0.89628,0.66251,0.58846,0.55953,0.32709,1.31717,0.94474,0.90336,0.003598,0.003598,0.003598
196,13644.7,1.28801,0.86234,0.89841,0.66391,0.59,0.56087,0.32826,1.3166,0.94476,0.90334,0.003565,0.003565,0.003565
197,13702.7,1.28489,0.85233,0.8973,0.66532,0.59154,0.56221,0.32943,1.31652,0.94439,0.90333,0.003532,0.003532,0.003532
198,13761,1.27994,0.85284,0.89528,0.66672,0.59308,0.56355,0.3306,1.31667,0.94421,0.90333,0.003499,0.003499,0.003499
199,13819.3,1.28445,0.8568,0.89616,0.66813,0.59462,0.56488,0.33177,1.31668,0.94433,0.90329,0.003466,0.003466,0.003466
200,13877.7,1.2816,0.85253,0.89748,0.66953,0.59615,0.56622,0.33294,1.31645,0.94432,0.90322,0.003433,0.003433,0.003433
201,13936.3,1.28066,0.85503,0.89563,0.67094,0.59769,0.56756,0.33411,1.31695,0.94444,0.9033,0.0034,0.0034,0.0034
202,13994.2,1.28325,0.85685,0.89567,0.67234,0.59923,0.5689,0.33528,1.3167,0.94449,0.90325,0.003367,0.003367,0.003367
203,14052.6,1.28835,0.85707,0.89646,0.67375,0.60077,0.57023,0.33645,1.31676,0.94448,0.90332,0.003334,0.003334,0.003334
204,14111.7,1.27455,0.84599,0.8963,0.67515,0.60231,0.57157,0.33763,1.31683,0.94438,0.90328,0.003301,0.003301,0.003301
205,14170,1.28415,0.85298,0.89594,0.67656,0.60385,0.57291,0.3388,1.31687,0.94431,0.90328,0.003268,0.003268,0.003268
206,14227.9,1.28047,0.84941,0.8963,0.67796,0.60538,0.57425,0.33997,1.31676,0.94429,0.90319,0.003235,0.003235,0.003235
207,14285.4,1.28186,0.8525,0.89788,0.67936,0.60692,0.57559,0.34114,1.31691,0.94473,0.9032,0.003202,0.003202,0.003202
208,14343.4,1.2868,0.85352,0.89674,0.68077,0.60846,0.57692,0.34231,1.31708,0.94442,0.90327,0.003169,0.003169,0.003169
209,14400.9,1.27509,0.84795,0.89421,0.68217,0.61,0.57826,0.34348,1.31702,0.9444,0.90315,0.003136,0.003136,0.003136
210,14458.4,1.28243,0.84674,0.89587,0.68358,0.61154,0.5796,0.34465,1.31748,0.94426,0.90317,0.003103,0.003103,0.003103
211,14516.3,1.28096,0.8468,0.89617,0.68498,0.61308,0.58094,0.34582,1.31765,0.94472,0.90326,0.00307,0.00307,0.00307
212,14587.6,1.28424,0.8491,0.89687,0.68639,0.61462,0.58227,0.34699,1.318,0.9447,0.90325,0.003037,0.003037,0.003037
213,14646.7,1.2691,0.83895,0.89339,0.68779,0.61615,0.58361,0.34816,1.31795,0.94491,0.90326,0.003004,0.003004,0.003004
214,14703.9,1.28908,0.85294,0.89691,0.6892,0.61769,0.58495,0.34933,1.31812,0.94498,0.90333,0.002971,0.002971,0.002971
215,14760.9,1.26631,0.83496,0.8931,0.6906,0.61923,0.58629,0.3505,1.31794,0.94506,0.90329,0.002938,0.002938,0.002938
216,14819.1,1.27568,0.84377,0.89543,0.69201,0.62077,0.58763,0.35167,1.31787,0.94485,0.90332,0.002905,0.002905,0.002905
217,14876.5,1.27054,0.8399,0.89556,0.69341,0.62231,0.58896,0.35284,1.31806,0.94473,0.90335,0.002872,0.002872,0.002872
218,14933.6,1.2756,0.8459,0.89522,0.69482,0.62385,0.5903,0.35401,1.31841,0.94515,0.90336,0.002839,0.002839,0.002839
219,14990.9,1.27011,0.83887,0.89346,0.69622,0.62538,0.59164,0.35518,1.31826,0.94511,0.90332,0.002806,0.002806,0.002806
220,15048.1,1.26998,0.83901,0.89457,0.69763,0.62692,0.59298,0.35635,1.31825,0.94518,0.90339,0.002773,0.002773,0.002773
221,15105.5,1.27545,0.84307,0.89221,0.69903,0.62846,0.59431,0.35753,1.31815,0.94532,0.90338,0.00274,0.00274,0.00274
222,15163.3,1.28159,0.84277,0.89477,0.70043,0.63,0.59565,0.3587,1.31824,0.9455,0.90338,0.002707,0.002707,0.002707
223,15220.4,1.27451,0.83852,0.8958,0.70184,0.63154,0.59699,0.35987,1.31842,0.94571,0.90337,0.002674,0.002674,0.002674
224,15278.4,1.2783,0.83988,0.89316,0.70324,0.63308,0.59833,0.36104,1.31829,0.9458,0.90337,0.002641,0.002641,0.002641
225,15335.9,1.26462,0.8318,0.89214,0.70465,0.63462,0.59967,0.36221,1.31816,0.94554,0.90337,0.002608,0.002608,0.002608
226,15393.8,1.26787,0.83024,0.89225,0.70605,0.63615,0.601,0.36338,1.31814,0.9456,0.90333,0.002575,0.002575,0.002575
227,15451.4,1.269,0.83703,0.89297,0.70746,0.63769,0.60234,0.36455,1.3185,0.94582,0.90334,0.002542,0.002542,0.002542
228,15509.3,1.26884,0.83199,0.89201,0.70886,0.63923,0.60368,0.36572,1.3187,0.94611,0.90339,0.002509,0.002509,0.002509
229,15567.6,1.27907,0.84153,0.89418,0.71027,0.64077,0.60502,0.36689,1.31854,0.94647,0.90339,0.002476,0.002476,0.002476
230,15625.2,1.26864,0.83297,0.89466,0.71167,0.64231,0.60635,0.36806,1.31839,0.94632,0.90332,0.002443,0.002443,0.002443
231,15682.3,1.26344,0.82924,0.89232,0.71308,0.64385,0.60769,0.36923,1.31838,0.94646,0.90332,0.00241,0.00241,0.00241
232,15740.1,1.26276,0.83264,0.89212,0.71448,0.64538,0.60903,0.3704,1.31861,0.94666,0.90333,0.002377,0.002377,0.002377
233,15797.2,1.26952,0.82906,0.8933,0.71589,0.64692,0.61037,0.37157,1.31842,0.94689,0.90325,0.002344,0.002344,0.002344
234,15855.2,1.27145,0.83389,0.89254,0.71729,0.64846,0.61171,0.37274,1.31855,0.94691,0.9033,0.002311,0.002311,0.002311
235,15912.4,1.26617,0.82889,0.89183,0.7187,0.65,0.61304,0.37391,1.3185,0.94704,0.90334,0.002278,0.002278,0.002278
236,15969.7,1.27012,0.82997,0.89301,0.7201,0.65154,0.61438,0.37508,1.31871,0.94698,0.90328,0.002245,0.002245,0.002245
237,16027,1.25487,0.82407,0.88989,0.72151,0.65308,0.61572,0.37625,1.31842,0.94722,0.90325,0.002212,0.002212,0.002212
238,16084.4,1.26927,0.827,0.89151,0.72291,0.65462,0.61706,0.37742,1.3188,0.94717,0.90331,0.002179,0.002179,0.002179
239,16141.5,1.26592,0.8304,0.89417,0.72431,0.65615,0.61839,0.3786,1.31868,0.94737,0.90334,0.002146,0.002146,0.002146
240,16199.2,1.26777,0.82974,0.89221,0.72572,0.65769,0.61973,0.37977,1.31873,0.94728,0.90326,0.002113,0.002113,0.002113
241,16256.9,1.26916,0.82849,0.89162,0.72712,0.65923,0.62107,0.38094,1.31893,0.94755,0.90327,0.00208,0.00208,0.00208
242,16314.1,1.25515,0.82074,0.88983,0.72853,0.66077,0.62241,0.38211,1.31901,0.94777,0.90324,0.002047,0.002047,0.002047
243,16371.6,1.2508,0.81892,0.89008,0.72993,0.66231,0.62375,0.38328,1.319,0.94749,0.90323,0.002014,0.002014,0.002014
244,16428.5,1.25702,0.82177,0.8922,0.73134,0.66385,0.62508,0.38445,1.31922,0.9479,0.90321,0.001981,0.001981,0.001981
245,16485.5,1.2672,0.82596,0.89196,0.73274,0.66538,0.62642,0.38562,1.31938,0.948,0.90326,0.001948,0.001948,0.001948
246,16542.7,1.26188,0.82437,0.89096,0.73415,0.66692,0.62776,0.38679,1.31973,0.94841,0.90332,0.001915,0.001915,0.001915
247,16599.7,1.25639,0.82129,0.89041,0.73555,0.66846,0.6291,0.38796,1.32,0.9485,0.90328,0.001882,0.001882,0.001882
248,16657.6,1.25606,0.81815,0.89164,0.73696,0.67,0.63043,0.38913,1.31974,0.94861,0.90324,0.001849,0.001849,0.001849
249,16715.3,1.25826,0.816,0.89056,0.73836,0.67154,0.63177,0.3903,1.31993,0.94861,0.90325,0.001816,0.001816,0.001816
250,16773.2,1.25076,0.81344,0.89005,0.73977,0.67308,0.63311,0.39147,1.31977,0.94858,0.90319,0.001783,0.001783,0.001783
251,16830.4,1.25186,0.81523,0.89013,0.74117,0.67462,0.63445,0.39264,1.31954,0.94842,0.90323,0.00175,0.00175,0.00175
252,16888.4,1.24871,0.81144,0.88884,0.74258,0.67615,0.63579,0.39381,1.31978,0.94876,0.90322,0.001717,0.001717,0.001717
253,16946.1,1.25671,0.81863,0.89168,0.74398,0.67769,0.63712,0.39498,1.31982,0.94863,0.9032,0.001684,0.001684,0.001684
254,17004.3,1.25803,0.81699,0.89127,0.74538,0.67923,0.63846,0.39615,1.3197,0.94874,0.90315,0.001651,0.001651,0.001651
255,17061.3,1.25351,0.81496,0.88948,0.74679,0.68077,0.6398,0.39732,1.31979,0.9488,0.90316,0.001618,0.001618,0.001618
256,17118.8,1.2552,0.81499,0.89179,0.74819,0.68231,0.64114,0.39849,1.32015,0.94894,0.90323,0.001585,0.001585,0.001585
257,17177.1,1.25426,0.80988,0.88943,0.7496,0.68385,0.64247,0.39967,1.31992,0.949,0.90318,0.001552,0.001552,0.001552
258,17235.6,1.25348,0.81179,0.89088,0.751,0.68538,0.64381,0.40084,1.31993,0.94904,0.90316,0.001519,0.001519,0.001519
259,17293.6,1.25458,0.81317,0.88837,0.75241,0.68692,0.64515,0.40201,1.32039,0.94946,0.9032,0.001486,0.001486,0.001486
260,17351.3,1.25097,0.8095,0.88871,0.75381,0.68846,0.64649,0.40318,1.32042,0.9498,0.90325,0.001453,0.001453,0.001453
261,17409,1.24571,0.80775,0.88896,0.75522,0.69,0.64783,0.40435,1.32068,0.9503,0.9033,0.00142,0.00142,0.00142
262,17466.5,1.24697,0.80807,0.88842,0.75662,0.69154,0.64916,0.40552,1.32111,0.95049,0.90334,0.001387,0.001387,0.001387
263,17524.1,1.24388,0.80637,0.88864,0.75803,0.69308,0.6505,0.40669,1.32111,0.95098,0.90338,0.001354,0.001354,0.001354
264,17581.7,1.24996,0.8072,0.88836,0.75943,0.69462,0.65184,0.40786,1.32111,0.95091,0.90334,0.001321,0.001321,0.001321
265,17639.7,1.2524,0.80762,0.88925,0.76084,0.69615,0.65318,0.40903,1.32128,0.95124,0.90342,0.001288,0.001288,0.001288
266,17696.9,1.24088,0.80293,0.8882,0.76224,0.69769,0.65452,0.4102,1.3211,0.95109,0.90337,0.001255,0.001255,0.001255
267,17754.1,1.24838,0.80635,0.88743,0.76365,0.69923,0.65585,0.41137,1.32107,0.95123,0.90337,0.001222,0.001222,0.001222
268,17812.7,1.25624,0.81092,0.88879,0.76505,0.70077,0.65719,0.41254,1.32106,0.95149,0.90338,0.001189,0.001189,0.001189
269,17870.6,1.24324,0.80295,0.8881,0.76645,0.70231,0.65853,0.41371,1.32137,0.95225,0.90335,0.001156,0.001156,0.001156
270,17928,1.24438,0.80592,0.88836,0.76786,0.70385,0.65987,0.41488,1.32134,0.95204,0.90335,0.001123,0.001123,0.001123
271,17985.7,1.25009,0.80438,0.8885,0.76926,0.70538,0.6612,0.41605,1.32151,0.95221,0.90338,0.00109,0.00109,0.00109
272,18043,1.23855,0.79831,0.88671,0.77067,0.70692,0.66254,0.41722,1.32187,0.95267,0.90343,0.001057,0.001057,0.001057
273,18100.4,1.2408,0.79772,0.88727,0.77207,0.70846,0.66388,0.41839,1.32177,0.9527,0.90347,0.001024,0.001024,0.001024
274,18158.3,1.24057,0.80068,0.88747,0.77348,0.71,0.66522,0.41957,1.32185,0.95278,0.90348,0.000991,0.000991,0.000991
275,18215.5,1.23693,0.79619,0.88584,0.77488,0.71154,0.66656,0.42074,1.32194,0.95315,0.90355,0.000958,0.000958,0.000958
276,18273.8,1.24243,0.80165,0.8867,0.77629,0.71308,0.66789,0.42191,1.32187,0.9533,0.90343,0.000925,0.000925,0.000925
277,18331.5,1.23496,0.79546,0.88576,0.77769,0.71462,0.66923,0.42308,1.32194,0.95356,0.90349,0.000892,0.000892,0.000892
278,18389.2,1.24359,0.8016,0.88691,0.7791,0.71615,0.67057,0.42425,1.322,0.95347,0.90344,0.000859,0.000859,0.000859
279,18446.7,1.23787,0.79886,0.88721,0.7805,0.71769,0.67191,0.42542,1.32226,0.95365,0.90353,0.000826,0.000826,0.000826
280,18504.3,1.23532,0.79541,0.88616,0.78191,0.71923,0.67324,0.42659,1.32255,0.95447,0.90345,0.000793,0.000793,0.000793
281,18561.7,1.23834,0.79573,0.88463,0.78331,0.72077,0.67458,0.42776,1.32292,0.95455,0.90352,0.00076,0.00076,0.00076
282,18619.1,1.24002,0.79404,0.88706,0.78472,0.72231,0.67592,0.42893,1.32286,0.95478,0.90354,0.000727,0.000727,0.000727
283,18677.1,1.24214,0.7944,0.88439,0.78612,0.72385,0.67726,0.4301,1.32316,0.95527,0.90364,0.000694,0.000694,0.000694
284,18734.6,1.23623,0.79245,0.88699,0.78753,0.72538,0.6786,0.43127,1.32298,0.95535,0.9036,0.000661,0.000661,0.000661
285,18792.6,1.22927,0.7888,0.8877,0.78893,0.72692,0.67993,0.43244,1.32296,0.95526,0.90367,0.000628,0.000628,0.000628
286,18850.4,1.23505,0.79262,0.88643,0.79033,0.72846,0.68127,0.43361,1.32317,0.95571,0.90364,0.000595,0.000595,0.000595
287,18907.6,1.22632,0.78645,0.88596,0.79174,0.73,0.68261,0.43478,1.32346,0.95607,0.90372,0.000562,0.000562,0.000562
288,18965.3,1.23578,0.79535,0.88623,0.79314,0.73154,0.68395,0.43595,1.32393,0.95626,0.90377,0.000529,0.000529,0.000529
289,19022.9,1.23307,0.78954,0.8858,0.79455,0.73308,0.68528,0.43712,1.32405,0.95672,0.9038,0.000496,0.000496,0.000496
290,19079.9,1.23059,0.78616,0.88469,0.79595,0.73462,0.68662,0.43829,1.32415,0.95714,0.90379,0.000463,0.000463,0.000463
291,19137.8,1.22396,0.78432,0.88923,0.79736,0.73615,0.68796,0.43946,1.3246,0.9573,0.90385,0.00043,0.00043,0.00043
292,19192.9,1.20525,0.76193,0.88465,0.79876,0.73769,0.6893,0.44064,1.32502,0.95773,0.90391,0.000397,0.000397,0.000397
293,19247.8,1.19747,0.75575,0.88408,0.80017,0.73923,0.69064,0.44181,1.32495,0.95803,0.90391,0.000364,0.000364,0.000364
294,19302.3,1.19717,0.7538,0.88317,0.80157,0.74077,0.69197,0.44298,1.3254,0.95848,0.90399,0.000331,0.000331,0.000331
295,19357.3,1.1951,0.75134,0.88317,0.80298,0.74231,0.69331,0.44415,1.32561,0.95845,0.904,0.000298,0.000298,0.000298
296,19412.5,1.19697,0.75091,0.88309,0.80438,0.74385,0.69465,0.44532,1.32564,0.95878,0.90401,0.000265,0.000265,0.000265
297,19467.5,1.19188,0.7453,0.88135,0.80579,0.74538,0.69599,0.44649,1.32583,0.95895,0.90407,0.000232,0.000232,0.000232
298,19522.2,1.19368,0.74809,0.88311,0.80719,0.74692,0.69732,0.44766,1.3259,0.9591,0.90419,0.000199,0.000199,0.000199
299,19577.1,1.18926,0.74443,0.88089,0.8086,0.74846,0.69866,0.44883,1.32631,0.95935,0.90425,0.000166,0.000166,0.000166
300,19632.4,1.19228,0.74624,0.88119,0.81065,0.75021,0.70251,0.45002,1.32668,0.9598,0.90433,0.000133,0.000133,0.000133
