epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2899.71,1.41648,1.02588,0.9283,0.4504,0.35615,0.35753,0.15033,1.38629,1.03417,0.92232,0.008581,0.008581,0.008581
45,2968.58,1.41227,1.03026,0.92843,0.45181,0.35769,0.35886,0.15151,1.38912,1.02438,0.9221,0.008548,0.008548,0.008548
46,3037.75,1.41637,1.02758,0.9273,0.45321,0.35923,0.3602,0.15268,1.39159,1.02885,0.92404,0.008515,0.008515,0.008515
47,3107.31,1.40332,1.01915,0.92738,0.45462,0.36077,0.36154,0.15385,1.38977,1.02825,0.9216,0.008482,0.008482,0.008482
48,3176.33,1.4122,1.02081,0.92609,0.45602,0.36231,0.36288,0.15502,1.37758,1.01793,0.92043,0.008449,0.008449,0.008449
49,3245.04,1.41248,1.01892,0.92786,0.45742,0.36385,0.36421,0.15619,1.38711,1.0239,0.92109,0.008416,0.008416,0.008416
50,3314.82,1.40607,1.01323,0.9254,0.45883,0.36538,0.36555,0.15736,1.38413,1.02271,0.91957,0.008383,0.008383,0.008383
51,3384.88,1.41188,1.01388,0.92654,0.46023,0.36692,0.36689,0.15853,1.37701,1.02096,0.91874,0.00835,0.00835,0.00835
52,3454.03,1.40641,1.01075,0.92473,0.46164,0.36846,0.36823,0.1597,1.37483,1.01854,0.91874,0.008317,0.008317,0.008317
53,3523.67,1.40026,1.00449,0.9256,0.46304,0.37,0.36957,0.16087,1.37363,1.01388,0.91804,0.008284,0.008284,0.008284
54,3593.4,1.40089,1.0067,0.92402,0.46445,0.37154,0.3709,0.16204,1.37444,1.01077,0.91977,0.008251,0.008251,0.008251
55,3662.85,1.39907,1.00491,0.92402,0.46585,0.37308,0.37224,0.16321,1.37105,1.00769,0.91799,0.008218,0.008218,0.008218
56,3732.85,1.3947,1.00497,0.92366,0.46726,0.37462,0.37358,0.16438,1.37552,1.01866,0.91905,0.008185,0.008185,0.008185
57,3803.16,1.40507,1.00761,0.92588,0.46866,0.37615,0.37492,0.16555,1.36829,1.00667,0.91715,0.008152,0.008152,0.008152
58,3879.66,1.39694,1.00075,0.92392,0.47007,0.37769,0.37625,0.16672,1.36805,1.00339,0.91567,0.008119,0.008119,0.008119
59,3976.17,1.39273,0.99851,0.92315,0.47147,0.37923,0.37759,0.16789,1.36799,1.01067,0.91761,0.008086,0.008086,0.008086
